link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,toll,jurisdiction,row_width,notes
15409,Third Street,29,22,TRUE,9010,,,-1,1024,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,8615409
5677,Main Street,22,21,TRUE,9011,,,1,10,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,34065677
4425,Main Street,25,28,TRUE,9012,,,1,293,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,356674425
4619,Main Street,7,21,TRUE,9013,,,1,,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,3566784619
14619,Main Street,21,7,TRUE,9013,,,-1,,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,
8461,Main Street,21,25,TRUE,9014,,,1,,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,356678461
7761,Main Street,7,1,TRUE,9015,,,1,288,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,370197761
6011,Main Street,21,22,TRUE,9016,,,1,207,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,576786011
7337,Main Street,1,7,TRUE,9017,,,1,483,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,591217337
4222,Ames Street,11,7,TRUE,9009,,,1,541,,,1000,25,1,CycleTrack,Sidewalk,Parallel,BIKE,,,,668954222
9910,Ames Street,10,7,TRUE,9018,,,1,938,,,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,,42769910
31101,Broadway sidewalk,302,1105,FALSE,9019,,311,0,,,Sidewalk,,,,,,,WALK,,,,Broadway EB approaching Ames SIDEWALK
11301,Broadway sidewalk,1103,301,FALSE,9020,,113,0,,,Sidewalk,,,,,,,WALK,,,,"Westbound, west of Ames SIDEWALK"
71102,Ames sidewalk,701,711,FALSE,9021,,711,0,,,Sidewalk,,,,,,,WALK,,,,Ames between Main and Broadway NB SIDEWALK (before bus stop island)
71103,Ames sidewalk,711,1104,FALSE,9022,,711,0,,,Sidewalk,,,,,,,WALK,,,,Ames between Main and Broadway NB SIDEWALK (after bus stop island)
11702,Ames sidewalk,1105,702,FALSE,9023,,117,0,,,Sidewalk,,,,,,,WALK,,,,Ames between Main and Broadway SB SIDEWALK
11221,Broadway sidewalk,1104,1101,FALSE,9024,,1122,0,,,Sidewalk,,,,,,,WALK,,,,Eastbound approaching Third SIDEWALK (west half)
11222,Broadway sidewalk,1101,2202,FALSE,9025,,1122,0,,,Sidewalk,,,,,,,WALK,,,,Eastbound approaching Third SIDEWALK (east half)
22111,Broadway sidewalk,2201,2211,FALSE,9026,,2211,0,,,Sidewalk,,,,,,,WALK,,,,Westbound approaching Ames SIDEWALK (east half)
22112,Broadway sidewalk,2211,1102,FALSE,9027,,2211,0,,,Sidewalk,,,,,,,WALK,,,,Westbound approaching Ames SIDEWALK (west half)
11171,Loughery Walkway,1102,1701,FALSE,9028,,1117,0,,,Sidewalk,,,,,,,WALK,,,,Bike/ped path west of Volpe NB SIDEWALK
11001,,1102,1104,FALSE,9029,,,0,,,Crosswalk,,,,,,,WALK,,,,
11002,,1103,1105,FALSE,9030,,,0,,,Crosswalk,,,,,,,WALK,,,,
11003,,1104,1105,FALSE,9031,,,0,,,Crosswalk,,,,,,,WALK,,,,
11004,,1102,1103,FALSE,9032,,,0,,,Crosswalk,,,,,,,WALK,,,,"crosswalk across bikepath (basically a sidewalk, but it is signalized)"
11005,,711,12231,FALSE,9033,,,0,,,Crosswalk,,,,,,,WALK,,,,crosswalk to bus stop island
11221,,1101,2211,FALSE,9034,,,0,,,Crosswalk,,,,,,,WALK,,,,midblock crosswalk (near Volpe entrance)
70102,,701,702,FALSE,9035,,,,,,Crosswalk,,,,,,,WALK,,,,
70203,,702,703,FALSE,9036,,,,,,Crosswalk,,,,,,,WALK,,,,
70204,,703,704,FALSE,9037,,,,,,Crosswalk,,,,,,,WALK,,,,
70104,,701,704,FALSE,9038,,,,,,Crosswalk,,,,,,,WALK,,,,
72101,,701,771,FALSE,9039,,,,,,Sidewalk,,,,,,,WALK,,,,
72103,,771,2101,FALSE,9040,,,,,,Sidewalk,,,,,,,WALK,,,,
72102,,704,772,FALSE,9041,,,,,,Sidewalk,,,,,,,WALK,,,,
72104,,772,2102,FALSE,9042,,,,,,Sidewalk,,,,,,,WALK,,,,
21252,,2102,2502,FALSE,9043,,,,,,Sidewalk,,,,,,,WALK,,,,
25282,,2502,2802,FALSE,9044,,,,,,Sidewalk,,,,,,,WALK,,,,
21221,,2101,2202,FALSE,9045,,,,,,Sidewalk,,,,,,,WALK,,,,
22221,,2201,2202,FALSE,9046,,,,,,Crosswalk,,,,,,,WALK,,,,
22222,,2202,2203,FALSE,9047,,,,,,Crosswalk,,,,,,,WALK,,,,
22223,,2203,2204,FALSE,9048,,,,,,Crosswalk,,,,,,,WALK,,,,
22224,,2201,2204,FALSE,9049,,,,,,Crosswalk,,,,,,,WALK,,,,
22251,,2203,2501,FALSE,9050,,,,,,Sidewalk,,,,,,,WALK,,,,
25251,,2501,2502,FALSE,9051,,,,,,Crosswalk,,,,,,,WALK,,,,
22271,,2204,2701,FALSE,9052,,,,,,Sidewalk,,,,,,,WALK,,,,
11771,,1101,771,FALSE,9053,,,,,,Walkway,,,,,,,WALK,,,,Thru the Marriott
77102,,771,772,FALSE,9054,,,,,,Crosswalk,,,,,,,WALK,,,,
